BDRC_ID,PlaceType,label_bo,label_zh-hans,label_en,label_zh-pinin,label_mn-x-trans,alias_bo,alias_zh-hans,alias_en,alias_zh-pinin,alias_mn-x-trans,Latitude,Longitude,FoundedOn,ConvertedOn
G4859,monastery,ས་དམར་དགོན།,沙冒寺,,,,བཀྲ་ཤིས་ཆོས་འཁོར་གླིང་།,,,shamao si,,,,1803,
G2LS554,monastery,བར་ཀྱོག་དགོན།,,,,,ཕུན་ཚོགས་རབ་བརྟན་གླིང་།,,,,,32.20000,78.58000,1250,1550
G1KR812,monastery,བཀྲ་ཤིས་དར་རྒྱས་གླིང་།,寿国寺,,,,,康普寿国寺,,Shouguo si,,27.60000,99.01667,1729,
G2KR68,monastery,,,,Fuhui si,Kharchin vangin süm,,福慧寺,,,qaracin vang-un sum-e,,,1690,
G1KR185,monastery,བསུ་བ་དགོན།,四洼寺,,,,དགའ་ལྡན་བཀྲ་ཤིས་ཆོས་གླིང་།,四哇寺,,Si wa si,,32.99255,101.68617,1682,
G1KR2658,monastery,སྟག་ཐོག་དགོན་པ།,特合土寺,,,,,特合土寺,,tehetu si,,33.90000,99.13000,1890,
G3484,monastery,དགེ་འདུན་སྒང་།,,,,,ཉང་སྟོད་འབྲས་དགེ་འདུན་སྒང་།,,,,,,,,
G2CN10913,printery,བཀྲ་ཤིས་ལྷུན་པོའི་པར་ཁང་།,,,,,,,,,,,,,
G4701,monastery,ཁ་རྒྱ་སྒར།,,,,,,,,,,,,,
G76,monastery,ཆུ་བཟང་དགོན།,,,,,,,,,,,,,
G1KR33,monastery,མཚོ་སྟེང་དགོན།,昌都寺,,,,མཚོ་སྟེང་དགོན་དཔལ་གཤེན་བསྟན་ནོར་བུའི་གླིང་།,昌都罗尔布寺,,changdu luoerbu si,,31.56936,101.88718,1025,
G501,monastery,སྙན་མོ་དགོན།,年毛寺,,,,,,,nianmao si,,33.73000,99.43000,1890,
G4390,monastery,སྒོ་ཤར་དགོན།,,,,,སྒོ་ཤར་དགོན ༼སྟོད༽,,,,,,,,
G4006,monastery,ཟུར་མགོ་བསྟན་རྒྱས་གླིང་དགོན་པ།,丁真寺,,,,བསྟན་རྒྱས་གླིང་།,,,dingzhen si,,28.91667,99.58334,1350,
G2934,monastery,དགོན་ཆུང་ཁ།,,,,,,,,,,,,,
G1KR1642,monastery,བསམ་གཏན་གླིང་དགོན།,桑丹林寺,Samtenling,,,སྐྱིད་རོང་བསམ་གཏན་གླིང་དགོན།,吉隆县桑丹林寺,Jadur,sangdanlin si,,28.41667,85.36667,1550,1650
G2081,monastery,སྒ་དམ་དགོན།,,,,,,,,,,,,,
G3801,monastery,ལྔ་མཆོད་དགོན།,安觉寺,,,,,,,anjue si,,30.05000,101.96667,1600,
G3945,monastery,རྩེ་དགོན་བཀྲ་ཤིས་ཆོས་གླིང་།,,,,,,,,,,,,,
G3809,monastery,དྲུང་ཡིག་དགོན།,重依寺,,,,,,,zhongyi si,,31.05000,99.28333,1600,
G3797,monastery,ཁུ་འབྱོར་དགོན།,昆觉寺,,,,,,,kunjue si,,29.41667,101.30000,1196,
G1KR1700,monastery,སྣང་གསལ་དགོན།,朗色寺,,,,ཨ་གྲགས་སྣང་གསལ་དགོན།,,,langse si,,32.011338,92.386158,,
G1PD96281,monastery,དོ་ལོ་ཐང་ཇོ་མོ་དགོན་པ།,多洛塘尼姑寺,,,,,多洛塘尼故寺,,duoluotang nigu si,,35.71004,102.35463,1823,
G3JT12553,printery,རོང་ཐ་རྭ་ཉག་ཐེག་ཆེན་གླིང་པར་ཁང་།,,,,,རྭ་ཉག་ཕུན་ཚོགས་ཐེག་ཆེན་གླིང་པར་ཁང་།,,,,,,,,
G4073,monastery,མི་ཕམ་རྣམ་རྒྱལ་གླིང་།,龙若寺,,,,རྫ་ཚིག་གཡུང་དྲུང་གླིང་།,,,longruo si,,30.85000,101.93333,1625,
G1KR2479,monastery,ལཱ་ཁ་དགོན།,拉卡寺,,,,དགའ་ལྡན་བཤད་སྒྲུབ་དར་རྒྱས་གླིང་།,,,laka si,,34.64000,101.60000,1924,
G384,monastery,ཡར་འབྲོག་ཞག་དེའུ་དགོན།,,,,,ཞག་དེའུ་དགོན་པ།,,,,,29.267315,90.365979,,
G2CN11151,monastery,ཞུ་གཡུང་དྲུང་ཀུན་གྲགས་གླིང་།,,,,,ཞུ་རི་ཞིང་གཡུང་དྲུང་ཀུན་གྲགས་གླིང་།,,,,,27.278635,88.334254,,
G1KR2309,monastery,ཤ་སྟེངས་བོན་དགོན།,下什塘寺,,,,,,,,,36.06352,102.50000,,
G3041,monastery,ལོ་དགོན་པ།,洛普寺,,,,,洛寺,,luopu si,,29.92658,91.60416,1095,
G1KR2638,monastery,བུ་རྩ་དགོན་པ།,吾扎寺,,,,,,,wuzha si,,32.76000,100.80000,1887,
G3058,monastery,སྣེ་ཟུར་རི་ཁྲོད།,,,,,,,,,,,,,
G3125,monastery,དིང་རི་གླང་འཁོར་དགོན།,朗果寺,,,,གླང་འཁོར་དགོན།,定日朗果寺,,dingri langguo si,,28.51667,86.48333,1097,
G4804,monastery,རྟེན་དུར་དགོན།,,,,,,,,,,,,,
G3992,monastery,བརྡ་ཚང་དགོན།,大章寺,,,,བརྡ་ཚང་བསཀལ་བཟང་དགོན།,,,dazhang si,,32.78333,100.05000,1871,
G1KR2684,monastery,མཚོ་རིག་ཆོས་སྒར།,措柔帐房寺,,,,,,,cuorou zhangfang si,,35.11000,98.86000,,
G1KR2126,monastery,མཐུན་སྒྲིལ་ཟི།,团结寺,,,,,,,tuanjie si,,36.31504,102.85669,1413,
G2CN10858,printery,བཀྲ་ཤིས་ཆོས་གླིང་གི་པར་ཁང་།,,,,,,,,,,,,,
G1971,monastery,མ་ཡང་དགོན་པ།,,,,,དཔའ་རིས་མཱ་ཡང་དགོན་པ།,,,,,,,1757,
G1KR1692,monastery,དགའ་རི་དགོན།,嘎日寺,,,,སེན་ཚ་དགའ་རི་དགོན།,嘎如寺,,garu si,,31.196862,93.733782,1697,
G2217,monastery,གདོང་པོ་དགོན།,东坡寺,,,,གདོང་པོ་དགོན།,,,dongpo si,,31.11944,80.12250,1450,
G4812,monastery,ཀརྨ་ལྷ་སྟེང་དགོན་པ།,,,,,,,,,,,,1185,
G1KR2748,monastery,རུ་བ་བར་མ།,日哇多玛寺,,,,,日瓦得马寺,,riwa bama si,,32.48836,95.29840,1698,
G1KR70,monastery,བོའི་འུར་དགོན།,维尔寺,,,,བོའི་འུར་དགོན་བཀྲ་ཤིས་རྣམ་རྒྱལ་གླིང་།,,,weier si,,32.19537,103.19668,1040,
G2276,monastery,བྲག་གྱམ་དགོན།,扎江寺,,,,ཀརྨ་སྒྲུབ་བརྒྱུད་བསྟན་དར་ཆོས་འཁོར་གླིང་།,,,zhajiang si,,32.21000,83.99000,1850,
G4497,monastery,སྐུ་ཤུག་དགོན།,,,,,,,,,,,,,
G2250,monastery,ཁྲུས་སྒོ་དགོན།,楚果寺,,,,,,,chuguo si,,30.56000,81.44000,1400,1750
G1KR993,monastery,ཀོ་རྒྱལ་ཡར་དགོན།,上高吉寺,,,,,,,shanggaoji si,,31.36667,97.20000,,
G447,monastery,མངའ་རིས་གྲྭ་ཚང་།,阿里扎仓寺,,,,འོན་མདའ་མངའ་རིས་གྲྭ་ཚང་།,,,ali zhacang si,,29.28667,91.83596,1541,
G2GS1240,monastery,མང་རམས་དགོན།,,,,,,,,,,,,,
G1GS108148,monastery,བདེ་ཆེན་རབ་རྒྱས་གླིང་།,德庆热布杰寺,,,,དགའ་ལྡན་བདེ་ཆེན་རབ་རྒྱས་གླིང་།,,,deqing rebujie si,,29.68333,89.06667,1500,
G1KR2634,monastery,པན་ནག་དགོན་པ།,班那合寺,,,,,,,,,32.95000,100.71000,1777,
G2KR120,monastery,,,,Tanggarige miao,Tangaragin süm,,寿安寺,,Shou’an si,Tanggharigh-un süme,,,1663,
G1KR1352,monastery,བལ་ཐོ་དགོན།,白托寺,,,,གཡུང་དྲུང་ལྷ་ལྡིང་།,永忠拉丁寺,,baituo si,,31.052379,95.815067,1350,
G2859,monastery,འོག་གཞི་འགྲམ་དགོན།,,,,,ལྷོ་རྫོང་འོག་གཞི་འགྲམ་དགོན།,,,,,,,,
G3671,monastery,འབྲོག་སྒང་དགོན།,,,,,,,,,,,,,
G1KR2802,monastery,མགར་མགོ་འོད་གསལ་གླིང་།,堪郭寺,,,,,,,kanguo si,,32.20470,96.46614,1822,
