BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P1KG21740,,,,,,compiler,translator,,,,,,,དོན་གྲུབ་ཕུན་ཚོགས།,,,,,,,,,,,,,,,,,,,,,,,,,
P2KG228812,,,,,,compiler,,,,,,,,ཕུན་ཚོགས་དོན་གྲུབ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS75365,,,,,,compiler,,,,,,,,དོན་གྲུབ་ཕུན་ཚོགས།,,,,,,,,,,,,,,,,,,,,,,,,,
P1KG5867,Male,,,,,main author,compiler,,,,,,,ཕུན་ཚོགས་དོན་གྲུབ།,,phuntsok dhondup,,,,,,,,,,,,,,,,,,,,,,,
P8LS12321,,,,,,,,,,,,,,དགེ་འདུན་བློ་བཟང་།,,,རོང་པོ་དུས་འཁོར་ཁྲི ༡༢,,,,,,,,,,,,,,,,,,,,,,
P1PD105548,,,,,,,,,,,,,,བློ་བཟང་དགེ་འདུན།,鲁绒格丁,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12409,,,,,,,,,,,,,,བློ་བཟང་དགེ་འདུན།,,,སེར་བྱེས་མཁན་རབས ༤༨,,,,,,,,,,,,,,,,,,,,,,
P8LS12310,,,,,,,,,,,,,,དགེ་འདུན་བློ་བཟང་།,,,རོང་པོ་དུས་འཁོར་ཁྲི ༡༠,རོང་པོ་རྒྱུད་པ་ཁྲི ༡༩,,,,,,,,,,,,,,,,,,,,,
P8LS4264,,,,,,,,,,,,,,རྣམ་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P2KG228847,,,,,,main author,,,,,,,,རྣམ་རྒྱལ།,,,,,,,,,,,,,,,,,,,,,,,,,
P8LS12552,,,,Nyingma,Q848771,,,,,,,,,རྣམ་རྒྱལ།,,,བྲག་ཐོག་དགོན་གདན་རབས ༠༤,,,,,,,,,,,,,,,,,,,,,,
P1GS46464,,,,,,,,,,,,,,ནོར་བུ་ཚེ་རིང་།,,,,,,,,,,,,,,,,,,,,,,,,,
P3CN26258,,,,,,main author,,,,,,,,ཚེ་རིང་ནོར་བུ།,次仁罗布,,,,,,,,,,,,,,,,,,,,,,,,
