BDRC Resource ID,Gender,DOB,DOD,Traditions,Wiki-ID Traditions,Role1,Role2,Role3,Role4,Role5,Role6,Role7,Role8,label_bo,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6,Alias_bo_7,Alias_bo_8,Alias_bo_9,Alias_bo_10,Alias_bo_11,Alias_bo_12,Alias_bo_13,Alias_bo_14,Alias_bo_15,Alias_bo_16,Alias_bo_17,Alias_zh_1,Alias_zh_2,Alias_en_1,Alias_en_2,Alias_en_3,Alias_en_4
P64,Male,1357,1419,Geluk,Q319218,main author,commentator,compiler,contributing author,,,,,ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།,宗喀巴,Tsongkhapa Lobzang Drakpa,དོན་ཡོད་རྡོ་རྗེ།,བློ་བཟང་གྲགས་པ།,སུ་མ་ཏི་ཀཱིར་རྟི།,ཀུན་དགའ་སྙིང་པོ།,བློ་བཟང་གྲགས་པ།,ཁྲི ༠༡་བློ་བཟང་གྲགས་པ།,དགའ་ལྡན་ཁྲི་པ ༠༡,རྗེ་རིན་པོ་ཆེ་བློ་བཟང་གྲགས་པ།,,,,,,,,,,,,,,,
P80,Male,1391,1474,Kadam,Q588362,main author,contributing author,,,,,,,དགེ་འདུན་གྲུབ་པ།,杰·根敦珠巴,Dalai Lama 01 Gendun Drubpa,ཏཱ་ལའི་བླ་མ ༠༡,རྗེ་དགེ་འདུན་གྲུབ་པ།,པདྨ་རྡོ་རྗེ།,སྣར་ཐང་པ་དགེ་འདུན་གྲུབ་པ།,ཏཱ་ལའི་བླ་མ ༠༡,ཏཱ་ལའི་བླ་མ་དགེ་འདུན་གྲུབ་པ།,ཏཱ་ལའི་བླ་མ ༠༡་དགེ་འདུན་གྲུབ་པ།,,,,,,,,,,,第一世达赖喇嘛·根敦珠巴,,Dalai Lama 01,,,
P1428,Male,1575,1634,Jonang,Q1702893,contributing author,main author,compiler,reviser,translator,attributed author,,,ཇོ་ནང་རྗེ་བཙུན་ཏཱ་ར་ནཱ་ཐ།,多罗那他·衮噶宁波,taranatha,སྲི་གཅོད་རྡོ་རྗེ།,འགྲོ་བའི་མགོན་པོ།,སྒྲོལ་མའི་མགོན་པོ།,ཀུན་དགའ་སྙིང་པོ།,ཇོ་ནང་གདན་རབས ༢༦,ཏཱ་ར་ནཱ་ཐ།,,,,,,,,,,,,,,,,,
P1056,Male,1182,1251,Sakya,Q650035,main author,contributing author,reviser,translator,compiler,attributed author,,,ས་སྐྱ་པཎྜི་ཏ་ཀུན་དགའ་རྒྱལ་མཚན།,萨迦·衮噶坚赞｜萨迦班智达,,དཔལ་ལྡན་དོན་གྲུབ།,ས་སྐྱ་ཁྲི་ཆེན ༠༦,ས་སྐྱ་གོང་མ།,ཆོས་རྗེ་ས་སྐྱ་པཎྜི་ཏ།,ས་སྐྱ་ཁྲི་འཛིན ༠༦,ཀུན་དགའ་རྒྱལ་མཚན།,,,,,,,,,,,,sakya pandita,,,,,
P235,Male,1871,1926,Nyingma,Q848771,main author,scribe,compiler,contributing author,,,,,ཞེ་ཆེན་རྒྱལ་ཚབ ༠༤་འགྱུར་མེད་པདྨ་རྣམ་རྒྱལ།,,Pema Namgyel,ཞེ་ཆེན་རྒྱལ་ཚབ ༠༤,ཨོ་རྒྱན་མི་འགྱུར་ཀུན་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,འཇམ་དབྱངས་བློ་གྲོས་རྒྱ་མཚོ་སྒྲ་དབྱངས།,འགྱུར་མེད་པདྨ་བསྟན་འཛིན།,པདྨ་དབང་མཆོག་དགྱེས་པ་རྩལ།,གཞན་ཕན་ཆོས་ཀྱི་བློ་གྲོས།,ཨོ་རྒྱན་ཐུགས་མཆོག་རྡོ་རྗེ་ཚེ་དབང་གྲུབ་པའི་མགོན་པོ།,ལྷ་ཐོག་ཨ་གྲོ་ཚང་།,འགྱུར་མེད་པདྨ་རྣམ་རྒྱལ།,,,,,,,,,,,,,,
P238,Male,1861,,Geluk,Q319218,main author,,,,,,,,ཆེ་ཤོས ༠༣་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།,却西·洛桑降曲丹白卓麦,Chesho 03,བློ་བཟང་བསྟན་པའི་རྒྱལ་མཚན།,སྐུ་འབུམ་ཁྲི ༧༡་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།,ཆེ་ཤོས་བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།,"ཆོས་ཀྱི་རྡོ་རྗེ,་ཆེ་ཤོས།",སྐུ་འབུམ་དུས་འཁོར་ཁྲི ༢༩,ཆོས་མེད་ཆོས་ཀྱི་རྡོ་རྗེ།,བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།,བློ་བཟང་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།,"མི་བསྐྱོད་རྡོ་རྗེ,་ཆེ་ཤོས།",སྐུ་འབུམ་རྒྱུད་པ་ཁྲི ༦༥,སྐུ་འབུམ་ཁྲི་ཆེན ༧༡,བློ་བཟང་བསྟན་པའི་སྒྲོན་མེ།,ཆེ་ཤོས་བྱང་ཆུབ་བསྟན་པའི་སྒྲོན་མེ།,ཆེ་ཤོས ༠༣,,,,,,,,,
P825,Male,1527,1592,Kagyu,Q471187,compiler,main author,contributing author,,,,,,འབྲུག་ཆེན ༠༤་པདྨ་དཀར་པོ།,竹巴·白玛噶波｜第四世嘉旺竹巴,Pema Karpo,འབྲུག་ཆེན ༠༤,བློ་གསལ་དབང་པོ།,མི་ཕམ་པདྨ་དཀར་པོ་ཕྱོགས་ལས་རྣམ་པར་རྒྱལ་བའི་སྡེ།,པདྨ་དཀར་པོ།,རྒྱལ་དབང་ལྷུན་གྲུབ།,བདུད་ལས་རྣམ་རྒྱལ།,འབྲུག་པ་པདྨ་དཀར་པོ།,ཐར་པ་རྒྱལ་མཚན།,ཀུན་དགའ་རྣམ་རྒྱལ་ནོར་བུ།,འགྱུར་མེད་ངག་དབང་ནོར་བུ།,ངག་དབང་ནོར་བུ།,འབྲུག་ཆེན ༠༤,,,,,,,,,,,
P856,Male,1441,1527,Kadam,Q588362,contributing author,main author,requester,reviser,translator,compiler,Source Language Scholar,,ཞྭ་ལུ་ལོ་ཙཱ་བ་ཆོས་སྐྱོང་བཟང་པོ།,,Chokyong Zangpo,འགོས་ལོ་ཙཱ་བ ༠༣་ཆོས་སྐྱོང་བཟང་པོ།,ཞྭ་ལུ་མཁན་ཆེན ༠༩,དྷརྨ་བྷ་དྲ།,ཆོས་སྐྱོང་བཟང་པོ།,ཞྭ་ལུ་མཁན་ཆེན ༠༩་ཆོས་སྐྱོང་བཟང་པོ།,རིན་ཆེན་ཆོས་སྐྱོང་བཟང་པོ།,,,,,,,,,,,,,,,,,
P170,Male,1737,1802,Geluk,Q319218,contributing author,main author,,,,,,,ཐུའུ་བཀྭན ༠༣་བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།,土观·却吉尼玛／第三世土观呼图克图,Lobzang Chokyi Nyima,དྷརྨ་བ་ཛྲ།,སྐུ་འབུམ་ཁྲི་ཆེན ༣༥,ཐུའུ་བཀྭན ༠༣,ཞྭ་ལུ་མཁན་ཆེན ༢༩,བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།,ཆོས་ཀྱི་ཉི་མ།,བྱ་ཁྱུང་མཁན་རབས ༤༢,ཐུའུ་བཀྭན་བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།,"ཆོས་ཀྱི་རྡོ་རྗེ,་ཐུའུ་བཀྭན།",སྐུ་འབུམ་ཁྲི ༣༥་བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།,བྱ་ཁྱུང་མཁན་རབས་བློ་བཟང་ཆོས་ཀྱི་ཉི་མ།,,,,,,,,,,,,
P4956,Male,,,Rime,Q1571776,main author,calligrapher,recipient of response to query,tertön,translator,attributed author,Source Language Scholar,contributing author,སློབ་དཔོན་པདྨ་འབྱུང་གནས།,莲花生大士,Padmasambhava,རཀྵ་ཐོད་ཕྲེང་རྩལ།,གུ་རུ་རིན་པོ་ཆེ།,པད་མ་རྒྱལ་པོ།,པདྨ་འབྱུང་གནས།,མཚོ་སྐྱེས་རྡོ་རྗེ།,ཤཱཀྱ་སེངྒེ,,,,,,,,,,,,莲师,,,,,
P1048,Male,1235,1280,,,translator,main author,contributing author,compiler,,,,,འགྲོ་མགོན་ཆོས་རྒྱལ་འཕགས་པ།,八思巴｜萨迦·八思巴洛卓坚赞,Pakpa Lodro Gyeltsen,འཕགས་པ་བློ་གྲོས་རྒྱལ་མཚན།,འཕགས་པ་ལུག་སྐྱེས།,ས་སྐྱ་གོང་མ།,ཆོས་རྒྱལ་འཕགས་པ།,གནས་ལྔ་རིག་པའི་པཎྜི་ཏ་འཕགས་པ་ཏི་ཤྲི།,བློ་གྲོས་རྒྱལ་མཚན་དཔལ་བཟང་པོ།,ས་སྐྱ་ཁྲི་འཛིན ༠༧,བློ་གྲོས་རྒྱལ་མཚན།,ཏི་ཤྲི།,ས་སྐྱ་ཁྲི་ཆེན ༠༧,,,,,,,,'gro mgon 'phags pa blo gros rgyal mtshan,,,,,
