BDRC_ID,PlaceType,label_bo,label_zh-hans,label_en,label_zh-pinin,label_mn-x-trans,alias_bo,alias_zh-hans,alias_en,alias_zh-pinin,alias_mn-x-trans,Latitude,Longitude,AscTrad,FoundedOn,ConvertedOn
G1KR1642,monastery,བསམ་གཏན་གླིང་དགོན།,桑丹林寺,Samtenling,,,སྐྱིད་རོང་བསམ་གཏན་གླིང་དགོན།,吉隆县桑丹林寺,Jadur,sangdanlin si,,28.41667,85.36667,Kagyu,1550,1650
G3611,monastery,སྟག་ལུང་དགོན།,"达隆寺, 南达隆寺",Taklung Tarling Chode,,,ལྷོ་སྟག་ལུང་།,南达隆寺,,nan dalong si,,28.81215,90.44607,Sakya,700,1350
G1837,monastery,གོང་བ་གྲྭ་ཚང་།,贡巴寺,Gongwa Dratsang,,,ཐོས་བསམ་དར་རྒྱས་གླིང་།,工巴寺/国巴寺,Gongwa Dratsang Tosam Dargyeling,gongba si,,36.05,101.47665,Geluk,1446,
G161,monastery,བྱ་ཁྱུང་དགོན་པ།,夏琼寺,Jakhyung Monastery,,,ཨ་མདོ་བྱ་ཁྱུང་དགོན།,夏群寺/ 夏冲寺/ 沙冲寺,,xiaqun si/xiachong si/shachong si,,36.14439,101.88,"Kadampa, Geluk",1349,1599
G163,monastery,རོང་བོ་དགོན་ཆེན།,隆务寺,Rongwo Monastery,,,རོང་པོ་དགོན་ཆེན་ཐོས་བསམ་རྣམ་རྒྱལ་གླིང་།,隆务大乐法轮洲,,longwu si,,35.51,102.01,"Sakya, Geluk",1301,1630
G1KR2454,monastery,རྔ་བ་སྒར།,阿哇寺,Ngagar Jangchub Ling,,,རྔ་སྒར།,昂哇寺,,angwa si,,35.88,101.97678,"Sakya, Geluk",1350,1600
G1KR1936,monastery,ཚ་རྡོར་དགོན།,岔道尔寺,Tsador Monastery ,,,ཚ་རྡོར་དགོན་བཀྲ་ཤིས་བྱམས་པ་རྣམ་རྒྱལ་གླིང་།,扎西贤巴南杰林,,zhaxi xianba nanjielin,,34.70963,103.79801,"Sakya, Geluk",1260,1750
G2CN11149,monastery,སྨན་རིའི་གླིང་།,梅日寺,Menri (Dolanji),,,དཔལ་གཤེན་བསྟན་སྨན་རིའི་གླིང་།,印度梅日寺,Menri Monastery,yindu meiri si,,30.845815,77.149371,Bon,1969,
G294,monastery,བཙན་པོ་དགོན།,赞布寺,Tsenpo Gon,,,སྒོ་མང་དགོན།,郭莽寺,Serkhok Monasetery,saikehe si,,37.03,101.81,Geluk,1650,
G1KR1621,monastery,རྐྱང་བུ་དགོན།,江浦寺,Kyangpu,,,རྐྱང་ཕུ་དགོན།,萨玛达寺,,jiangpu si,,28.41667,89.58334,Rime,650,1246
G201,monastery,ཇོ་ནང་དགོན་པ།,觉囊寺,Jonang Monastery,,,ཇོ་ནང་རྒྱལ་བའི་རི་ཁྲོད།,觉朗通卓钦摩大佛塔,Jomonang Gon,juelang si,,29.35,88,Jonang,1230,
G471,monastery,གཏེར་ལུང་དགོན།,沙沟寺,Terlung Yiga Chodzin Ling,,,གཏེར་ལུང་ཡིད་དགའ་ཆོས་འཛིན་གླིང་།,堆隆寺,,shagou si,,35.2106,102.83985,"Drigung Kagyu, Geluk",1222,1650
G2LS540,monastery,རྩ་མདའ་དུང་དཀར་དགོན།,东嘎寺,Dungkar,,,དུང་དཀར་བཀྲ་ཤིས་ཆོས་གླིང་དགོན།,札达东嘎寺,,dongga si,,31.63,79.78,Kadam,1350,1450
G4681,monastery,བིས་མདོ་དགོན་ཆེན།,文都寺,Bido Gonchen,,,བིས་མདོ་དགོན་ཆེན་བཀྲ་ཤིས་ཐོས་བསམ་ཆོས་འཁོར་གླིང་།,边垛寺,,wendu si,,35.72813,102.34092,Geluk,1200,1600
G2362,monastery,གསང་སྔགས་མཁར།,桑昂寺,Dechen Sangngak Khar,,,བདེ་ཆེན་གསང་སྔགས་མཁར།,德庆桑昂寺,,deqing sangang si,,29.67119,91.35907,Geluk,1250,1450
G1709,monastery,སེར་དྲིས་དགོན།,赛支寺,Serdi Gonden Tashi Choling,,,སེར་དྲིས་དགོན་དགོན་ལྡན་བཀྲ་ཤིས་ཆོས་གླིང་།,赛智寺,,saizhi si,,36.08823,102.54711,Nyingma,1252,1677
G247,monastery,ངམ་རིང་ཆོས་སྡེ།,昂仁曲德寺,Ngamring Chode ,,,ངམ་རིངས་ཆོས་སྡེ།,曲德寺,,angren qude si,,29.3,87.23333,"Sakya, Geluk",1225,1650
