BDRC Resource ID,Gender,DOB,DOD,label_bo,Wikidata ID,label_zh-hans,label_en,Alias_bo_1,Alias_bo_2,Alias_bo_3,Alias_bo_4,Alias_bo_5,Alias_bo_6
P1337,male,,,Ten Chikpa Lung Gi Gyatso,Ten Chikpa Lung Gi Gyatso,,,ལུང་གི་རྒྱ་མཚོ།,,,,,
P849,male,1931,1960,Tendzin Khyenrab Geleg Wangpo,Tendzin Khyenrab Geleg Wangpo,,Drukchen 11,ཡེ་ཤེས་རྒྱ་མཚོ།,བསྟན་འཛིན་མཁྱེན་རབ།,བསྟན་འཛིན་མཁྱེན་རབ་དགེ་ལེགས་དབང་པོ།,འབྲུག་ཆེན ༡༡་པ།,འབྲུག་ཆེན ༡༡་པ།,
P8459,male,,,Mü Shyi Gön Khenchen Sönam Pal Zang,Mü Shyi Gön Khenchen Sönam Pal Zang,,,བསོད་ནམས་དཔལ་བཟང་།,,,,,
P9493,male,,,Kyi Tön Kün Ga Ten Sal,Kyi Tön Kün Ga Ten Sal,,,ཀུན་དགའ་བསྟན་གསལ།,,,,,
P7225,male,,,Mang Kharwa Lozang Karmo,Mang Kharwa Lozang Karmo,,,བློ་བཟང་དཀར་མོ།,,,,,
P8LS12110,,,,འཇའ་མོ་ཞབས་དྲུང་བློ་བཟང་ཡོན་ཏན་རྒྱ་མཚོ།,འཇའ་མོ་ཞབས་དྲུང་བློ་བཟང་ཡོན་ཏན་རྒྱ་མཚོ།,,,སྐུ་འབུམ་དུས་འཁོར་ཁྲི ༢༦,བློ་བཟང་ཡོན་རན་རྒྱ་མཚོ།,སྐུ་འབུམ་རྒྱུད་པ་ཁྲི ༦༣,,,
P8LS17967,male,1915,,སྐུ་སྲུང་རུ་དཔོན་བསོད་ནམས་བཀྲ་ཤིས།,སྐུ་སྲུང་རུ་དཔོན་བསོད་ནམས་བཀྲ་ཤིས།,,,རུ་དཔོན་བསོད་ནམས་བཀྲ་ཤིས།,རུ་དཔོན་བསོད་བཀྲས།,བསོད་ནམས་བཀྲ་ཤིས།,,,
P4041,male,1332,1362,Lachen Sönam Lodrö,Lachen Sönam Lodrö,,,བསོད་ནམས་བློ་གྲོས།,,,,,
P8LS14143,,,,འགོ་འོམ་ཚུལ་ཁྲིམས་བྱང་ཆུབ།,འགོ་འོམ་ཚུལ་ཁྲིམས་བྱང་ཆུབ།,,,ཚུལ་ཁྲིམས་བྱང་ཆུབ།,,,,,
P2JM462,,,,Chödrak Pema Kunzang,Chödrak Pema Kunzang,,,,,,,,
P7094,male,,,Ja Shong Lob Zur Lodrö Gyatso,Ja Shong Lob Zur Lodrö Gyatso,,,བློ་གྲོས་རྒྱ་མཚོ།,,,,,
P2099,male,,,Dro Pukpa,Dro Pukpa,,,,,,,,
P6386,male,,1987,Jampal Lodrö,Jampal Lodrö,,,འཇམ་དཔལ་བློ་གྲོས།,རྫོང་ནང་རྗེ་དབོན ༠༢,,,,
P5293,male,,,ཁྲི་ཐང་ཛཉཱ་ན།,ཁྲི་ཐང་ཛཉཱ་ན།,,,"ཛཉཱ་ན,་ཁྲི་ཐང་།",,,,,
P1785,male,,,Wönpo Namkha Delek,Wönpo Namkha Delek,,,ནམ་མཁའ་བདེ་ལེགས།,,,,,
P1KG18539,,,,མཁན་ཤེས་བྱ་ཀུན་གཟིགས།,མཁན་ཤེས་བྱ་ཀུན་གཟིགས།,,,ཤེས་བྱ་ཀུན་གཟིགས།,,,,,
P1KG20673,,,,Nomo Horkar,Nomo Horkar,霍尔噶·努木,Nomo Horkar,ཧོར་དཀར་ནོར་མོ།,ནོ་མོ།,,,,
P3578,male,,,Ling Tsang Gyalpo Gönpo Lhündrub,Ling Tsang Gyalpo Gönpo Lhündrub,,,མགོན་པོ་ལྷུན་གྲུབ།,,,,,
P4674,male,,,Ngari Ngadak Pa Ta Wen Sha,Ngari Ngadak Pa Ta Wen Sha,,,ཏ་དབེན་ཤ,,,,,
P9237,male,,,Li Kya Ku Kyé Ngawang Chögyal,Li Kya Ku Kyé Ngawang Chögyal,,,ངག་དབང་ཆོས་རྒྱལ།,,,,,
