0,ns1:Q1708503,ns2:P973,ns3:NM27A9E6B52AE2AFD6
1,ns4:P244,rdf:type,ns5:ObjectProperty
2,ns1:P2096,rdfs:label,didascalia dell’immagine
3,ns1:P2163,ns6:prefLabel,κωδικός αναφοράς FAST
4,ns1:Q5,ns7:name,Mense
5,ns1:P20,ns7:name,kapatayan a kakitizaan
6,ns1:P569,ns7:name,تاريخ ڄم
7,ns1:P106,ns7:name,occupation
8,ns1:Q1708503,ns8:P973,ns9:Q1708503-444E3BAF-7D84-4D9A-AEFA-1465F7229AAB
9,ns1:P813,ns7:description,datu-base edo webgune batean informazioa kontsultatua izan zen data
10,ns1:P569,ns10:statementProperty,ns11:P569
11,ns1:P106,rdfs:label,áámmát
12,ns1:P244,ns6:prefLabel,LCCN
13,ns1:P248,rdfs:label,anges i
14,ns1:P18,ns7:name,ôfbylding
15,ns1:P949,rdfs:label,İsrail Ulusal Kütüphanesi kimliği
16,ns1:P802,ns7:description,relevante student(en) van een persoon
17,ns1:Q748,ns6:prefLabel,buddyzm
18,ns1:P227,rdfs:label,GND ID
19,ns1:Q36180,ns6:prefLabel,skrivagner
20,ns1:P958,ns6:prefLabel,حصہ، آیت یا پیرا
21,ns1:P106,rdfs:label,povolání
22,ns1:P269,ns7:description,شماره برگه دان در SUDOC (سامانهٔ اسناد دانشگاهی فرانسوی) (P1025 را نیز ببینید)
23,ns1:P949,ns6:prefLabel,NLI-identificatiecode (Israël)
24,ns1:P20,ns6:prefLabel,stjerplak
25,ns1:Q36578,ns7:name,Gemeinsame Normdatei
26,ns1:Q36180,ns7:name,amaru
27,ns1:P570,ns7:description,data kiedy osoba zmarła
28,ns1:Q8560590,ns7:name,Viquipèdia en nepalès
29,ns1:Q748,ns7:name,Boudis
30,ns1:P2163,ns6:prefLabel,identificativo FAST
31,ns1:P802,ns7:name,شاگرد
32,ns1:P1417,ns7:name,ID Ensiklopedia Britannica Dalam Talian
33,ns1:P140,ns6:prefLabel,religión
34,ns1:P21,ns10:qualifier,ns12:P21
35,ns1:Q106800865,ns6:prefLabel,བྱ་བྲལ་ཆོས་རྗེ།
36,ns1:P646,ns6:prefLabel,ফ্রিবেইস আইডি
37,ns1:P973,ns7:name,aglam deg URL
38,ns1:P813,ns7:description,"дата, коли інформацію було отримано з бази даних чи веб-сайту (для використання з онлайн-джерелами)"
39,ns1:Q6581097,rdfs:label,мушки
40,ns13:P4138,rdf:type,ns5:Class
41,ns14:B0,rdf:type,ns7:Article
42,ns1:P373,ns7:name,categoria su Commons
43,ns1:P244,ns7:name,identifikátor LCAuth
44,ns1:Q36180,ns6:prefLabel,著作家
45,ns1:P973,rdfs:label,περιγράφεται στο URL
46,ns1:Q54919,rdfs:label,虛擬國際權威檔案
47,ns1:P1207,rdfs:label,波蘭國家聯合圖書目錄識別碼
48,ns1:P31,ns6:prefLabel,serese mupli
49,ns1:P21,ns6:prefLabel,جنسیت
50,ns1:P973,ns6:prefLabel,dijelaskan di URL
51,ns1:Q748,rdfs:label,Boeddhisme
52,ns1:P21,ns6:prefLabel,جنس
53,ns1:Q5,rdfs:label,moto
54,ns1:Q26961029,ns6:prefLabel,Qriqori təqviminə görə 1584-cü ildən əvvəlki tarix
55,ns1:P1006,rdfs:label,荷兰皇家图书馆标识符
56,ns1:P19,rdfs:label,šoddâmsaje
57,ns1:Q36180,ns7:name,scrivor
58,ns1:P227,rdfs:label,GND識別子
59,ns1:P2477,rdfs:label,identyfikator BDRC
60,ns1:P570,ns7:description,ವ್ಯಕ್ತಿ ನಿಧನ ಹೊಂದಿದ ದಿನಾಂಕ
61,ns1:Q199698,ns6:prefLabel,ukrainskspråkiga Wikipedia
62,ns1:P2096,rdfs:label,leyenda ti midia
63,ns1:Q6581097,rdfs:label,tāne
64,ns1:P813,rdfs:label,பார்த்தெடுத்த நாள்
65,ns1:P214,ns7:name,siglum VIAF
66,ns1:P1810,ns7:description,navnet som eit subjekt er oppført med i ein database eller medvirkande i et verk
67,ns1:Q48183,ns6:prefLabel,Wikipediya Almanki
68,ns1:Q328,ns6:prefLabel,Wikipedia en inglés
69,ns1:P21,ns6:prefLabel,gjinia
70,ns1:P646,ns7:name,identificador Freebase
71,ns1:P569,ns10:claim,ns8:P569
72,ns1:Q5,ns7:name,Homo sapiens
73,ns1:Q423048,ns7:name,International Standard Name Identifier
74,ns1:Q6581097,rdfs:label,мужчынскі пол
75,ns1:P31,ns7:name,là một
76,ns1:P577,ns7:name,data de publicació
77,ns1:Q1708503,ns7:name,Longchenpa
78,ns1:Q748,ns7:description,náboženstvo
79,ns1:P1066,ns6:prefLabel,老師
80,ns1:Q328,ns6:prefLabel,ಆಂಗ್ಲ ವಿಕಿಪೀಡಿಯ
81,ns1:P18,ns7:description,o ilustrație relevantă
82,ns1:P1006,rdfs:label,identificador NTA
83,ns1:Q748,ns7:description,Bir din ve hayat felsefesi
84,ns1:P409,rdfs:label,राष्ट्रीय पुस्तकालय ऑस्ट्रेलिया पहचानकर्ता
85,ns1:P802,ns6:prefLabel,شاگرد
86,ns1:P569,ns7:name,дата нараджэння
87,ns1:Q54919,ns6:prefLabel,Virtual International Authority File
88,ns1:P802,rdfs:label,学生
89,ns1:P214,rdfs:label,ID VIAF
90,ns1:P31,rdfs:label,adolah
91,ns1:Q36180,ns7:description,йоазон кхолламаш деш вола саг
92,ns1:P106,ns7:description,wad ene Minsch vun Berohv es udder wohr
93,ns1:Q5,ns6:prefLabel,muntu
94,ns1:P1066,ns7:name,老師
95,ns1:P31,ns7:description,класа чији је субјекат посебан пример и члан. (Субјекат је обично појединачни члан са ознаком Исправан назив.) Различито од P279 (је подкласа од)
96,ns1:Q17252,ns7:name,Тыбэт
97,ns1:P1871,rdfs:label,מזהה CERL
98,ns1:P18,ns6:prefLabel,ns15:ãnga
99,ns1:P19,ns7:description,"найдакладней вядомае месца нараджэньня (напрыклад, места, а не краіна; шпіталь, а ня места) асобы, жывёлы ці пэрсанажу"
100,ns1:P140,ns7:name,религия
101,ns2:P143,rdf:type,ns5:ObjectProperty
102,ns1:P227,ns7:name,GND код
103,ns1:P569,rdfs:label,जन्म तारीख
104,ns1:P1871,ns7:name,identificador CERL
105,ns1:P569,rdfs:label,datum narodźenja
106,ns1:Q36578,rdfs:label,Обединета нормативна податотека
107,ns1:Q36578,rdfs:label,Gemeinsame Normdatei
108,ns1:Q5,ns6:prefLabel,人
109,ns1:P214,ns6:prefLabel,VIAF
110,ns1:P248,rdfs:label,કહેવાયું છે
111,ns1:Q36180,ns7:name,作家
112,ns1:Q748,rdfs:label,ศาสนาพุทธ
113,ns1:P248,ns6:prefLabel,مذکور در
114,ns1:P1810,ns6:prefLabel,binavkirî wek
115,ns1:P1871,ns10:qualifierValue,ns16:P1871
116,ns1:Q462875,rdfs:label,ns17:リンパ
117,ns1:P373,ns6:prefLabel,കോമൺസ് വർഗ്ഗം
118,ns1:Q17252,ns7:name,Tibet
119,ns1:Q748,rdfs:label,ٻڌمت
120,ns1:Q36180,rdfs:label,нависанда
121,ns1:Q17252,ns6:prefLabel,Tibet
122,ns1:P854,ns7:name,URL di rifirimentu
123,ns18:P20,rdf:type,ns5:ObjectProperty
124,ns1:P248,ns6:prefLabel,afirmat dins
125,ns1:Q8560590,ns7:name,नेपाली विकिपिडिया
126,ns1:Q199698,rdfs:label,Wikipédia en ukrainien
127,ns1:P31,ns6:prefLabel,is a
128,ns1:Q36180,ns7:name,Qillqaq
129,ns1:P269,ns7:description,número identificador dentro da base de datos de autoridades de SUDOC
130,ns1:Q106788911,rdfs:label,Yak Dé Penchen Tsöndrü Dargyé
131,ns1:P20,rdfs:label,사망한 곳
132,ns1:P569,ns7:description,"subyektnıñ tuğan köne, ayı, yılı"
133,ns1:Q5,ns6:prefLabel,être humain
134,ns9:Q1708503-715EF04B-D886-454D-8EA6-04FD5748640C,ns12:P2096,Longchenpa i meditasjonsstilling
135,ns18:P227,rdf:type,ns5:ObjectProperty
136,ns1:P248,ns7:description,"opis źródła, skąd pochodzi dana informacja"
137,ns1:Q17252,ns7:name,Tibet
138,ns1:P802,ns7:name,شاگردان
139,ns1:P373,ns7:name,kategori Commons
140,ns1:Q17252,ns6:prefLabel,藏区
141,ns1:P3630,ns10:referenceValue,ns18:P3630
142,ns1:P19,ns6:prefLabel,بزائن جا
143,ns1:Q199698,ns6:prefLabel,Vükiped Lukrayänapükik
144,ns1:P2096,ns7:description,περιγραφή της εικόνας του αντικειμένου
145,ns1:P569,ns7:name,födelsedatum
146,ns1:P106,ns6:prefLabel,ocupasion
147,ns1:P3630,ns10:qualifierValue,ns16:P3630
148,ns1:P577,rdfs:label,data de publicação
149,ns1:Q48183,ns7:description,edizione in lingua tedesca di Wikipedia
150,ns1:P244,ns6:prefLabel,anaouder Levraoueg ar C'hendalc'h
151,ns1:P31,rdfs:label,ir
152,ns1:Q1708503,ns6:prefLabel,Longchenpa
153,ns1:Q48183,ns6:prefLabel,nemecká Wikipédia
154,ns1:P409,ns6:prefLabel,NLA
155,ns1:P31,ns7:description,šī vienība ir šīs citas vienības instance
156,ns1:P691,ns6:prefLabel,siglum NKCR
157,ns1:Q206855,ns7:name,វិគីភីឌាភាសារុស្ស៊ី
158,ns1:P409,ns6:prefLabel,एनएलए (ऑस्ट्रेलिया) ओळखण
159,ns1:P106,ns7:description,項所從事的行業
160,ns1:Q17252,ns6:prefLabel,ტიბეტი
161,ns1:P227,ns6:prefLabel,整合规范文档标识符
162,ns1:P691,ns6:prefLabel,còdici idintificativu NKC
163,ns1:P646,ns7:name,Freebase 식별자
